Ticker,Brand_Name,event_date,prev_trading_day,actual_event_trading_day,next_trading_day,Tarrif_News,volume_before_event,volume_on_event,volume_after_event,pct_change_before_to_event,pct_change_event_to_after
AAPL,apple,2025-02-01,2025-01-31,2025-02-03,2025-02-04,"25% tax on Canadian and Mexican exports to the US. 10% on China",100959800,72896300,44489128,-27.8,-38.97
AAPL,apple,2025-02-03,2025-01-31,2025-02-03,2025-02-04,"Mexico and Canada reach a deal to pause US tariffs for one month",100959800,72896300,44489128,-27.8,-38.97
AAPL,apple,2025-02-10,2025-02-07,2025-02-10,2025-02-11,"25% import tax on all steel and aluminium entering the US",39666100,33035700,53677600,-16.72,62.48
AAPL,apple,2025-03-04,2025-03-03,2025-03-04,2025-03-05,"Increase on tariff for Chinese imports to 20%",47088200,53724800,47200800,14.09,-12.14
AAPL,apple,2025-03-05,2025-03-04,2025-03-05,2025-03-06,"Temporarily exempts carmakers from the 25% tax imposed on Canada and Mexico",53724800,47200800,45100000,-12.14,-4.45
AAPL,apple,2025-03-07,2025-03-06,2025-03-07,2025-03-10,"Expands the range of goods exempted from the Canada and Mexico tariffs",45100000,46245700,71880000,2.54,55.43
AAPL,apple,2025-03-12,2025-03-11,2025-03-12,2025-03-13,"The 25% steel and aluminium tariffs take effect",76087700,62466400,61250000,-17.9,-1.95
AAPL,apple,2025-03-26,2025-03-25,2025-03-26,2025-03-27,"Announces 25% duties on cars will apply from 2 April and on car parts at a later date but before 3 May",34455800,34466100,37049500,0.03,7.5
AAPL,apple,2025-04-02,2025-04-01,2025-04-02,2025-04-03,"Says the US will impose reciprocal tariffs of up to 50% on certain countries and 10% on imports from all other countries",36377700,35114000,103204700,-3.47,193.91
AAPL,apple,2025-04-05,2025-04-04,2025-04-07,2025-04-08,"The 10% tariffs take effect",125569000,160466300,120363400,27.79,-24.99
AAPL,apple,2025-04-09,2025-04-08,2025-04-09,2025-04-10,"Tariffs on roughly 60 countries are introduced. Announces a 90 day pause during which the 10% baseline rate will be paid. 125% tariff is applied for China",120363400,184067400,121685000,52.93,-33.89
AAPL,apple,2025-04-10,2025-04-09,2025-04-10,2025-04-11,"China retaliatory 84% levy on US goods takes effect. Says tariffs on China would reach 145% for some products due to a previous 20% levy for those producing the drug fentanyl",184067400,121685000,87300000,-33.89,-28.26
AAPL,apple,2025-04-11,2025-04-10,2025-04-11,2025-04-14,China sets tariffs on US imports at 125% from 12 April.,121685000,87300000,101203700,-28.26,15.93
ABNB,airbnb,2025-02-01,2025-01-31,2025-02-03,2025-02-04,"25% tax on Canadian and Mexican exports to the US. 10% on China",3046700,2740700,2664901,-10.04,-2.77
ABNB,airbnb,2025-02-03,2025-01-31,2025-02-03,2025-02-04,"Mexico and Canada reach a deal to pause US tariffs for one month",3046700,2740700,2664901,-10.04,-2.77
ABNB,airbnb,2025-02-10,2025-02-07,2025-02-10,2025-02-11,"25% import tax on all steel and aluminium entering the US",5931500,4758200,4041000,-19.78,-15.07
ABNB,airbnb,2025-03-04,2025-03-03,2025-03-04,2025-03-05,"Increase on tariff for Chinese imports to 20%",6687300,4798800,3880700,-28.24,-19.13
ABNB,airbnb,2025-03-05,2025-03-04,2025-03-05,2025-03-06,"Temporarily exempts carmakers from the 25% tax imposed on Canada and Mexico",4798800,3880700,5922800,-19.13,52.62
ABNB,airbnb,2025-03-07,2025-03-06,2025-03-07,2025-03-10,"Expands the range of goods exempted from the Canada and Mexico tariffs",5922800,5616600,7479600,-5.17,33.17
ABNB,airbnb,2025-03-12,2025-03-11,2025-03-12,2025-03-13,"The 25% steel and aluminium tariffs take effect",9315700,4824400,7659100,-48.21,58.76
ABNB,airbnb,2025-03-26,2025-03-25,2025-03-26,2025-03-27,"Announces 25% duties on cars will apply from 2 April and on car parts at a later date but before 3 May",4362400,3502100,4904000,-19.72,40.03
ABNB,airbnb,2025-04-02,2025-04-01,2025-04-02,2025-04-03,"Says the US will impose reciprocal tariffs of up to 50% on certain countries and 10% on imports from all other countries",3915900,5176800,7948700,32.2,53.54
ABNB,airbnb,2025-04-05,2025-04-04,2025-04-07,2025-04-08,"The 10% tariffs take effect",10258200,9975600,7656500,-2.75,-23.25
ABNB,airbnb,2025-04-09,2025-04-08,2025-04-09,2025-04-10,"Tariffs on roughly 60 countries are introduced. Announces a 90 day pause during which the 10% baseline rate will be paid. 125% tariff is applied for China",7656500,12834200,6928600,67.62,-46.01
ABNB,airbnb,2025-04-10,2025-04-09,2025-04-10,2025-04-11,"China retaliatory 84% levy on US goods takes effect. Says tariffs on China would reach 145% for some products due to a previous 20% levy for those producing the drug fentanyl",12834200,6928600,4817300,-46.01,-30.47
ABNB,airbnb,2025-04-11,2025-04-10,2025-04-11,2025-04-14,China sets tariffs on US imports at 125% from 12 April.,6928600,4817300,4338000,-30.47,-9.95
ADBE,adobe,2025-02-01,2025-01-31,2025-02-03,2025-02-04,"25% tax on Canadian and Mexican exports to the US. 10% on China",4684300,3344500,2581258,-28.6,-22.82
ADBE,adobe,2025-02-03,2025-01-31,2025-02-03,2025-02-04,"Mexico and Canada reach a deal to pause US tariffs for one month",4684300,3344500,2581258,-28.6,-22.82
ADBE,adobe,2025-02-10,2025-02-07,2025-02-10,2025-02-11,"25% import tax on all steel and aluminium entering the US",2692900,3945500,3255500,46.51,-17.49
ADBE,adobe,2025-03-04,2025-03-03,2025-03-04,2025-03-05,"Increase on tariff for Chinese imports to 20%",2604700,2940600,2405200,12.9,-18.21
ADBE,adobe,2025-03-05,2025-03-04,2025-03-05,2025-03-06,"Temporarily exempts carmakers from the 25% tax imposed on Canada and Mexico",2940600,2405200,2729000,-18.21,13.46
ADBE,adobe,2025-03-07,2025-03-06,2025-03-07,2025-03-10,"Expands the range of goods exempted from the Canada and Mexico tariffs",2729000,3038100,3993000,11.33,31.43
ADBE,adobe,2025-03-12,2025-03-11,2025-03-12,2025-03-13,"The 25% steel and aluminium tariffs take effect",3143500,5444200,14360500,73.19,163.78
ADBE,adobe,2025-03-26,2025-03-25,2025-03-26,2025-03-27,"Announces 25% duties on cars will apply from 2 April and on car parts at a later date but before 3 May",3646400,3425000,2728700,-6.07,-20.33
ADBE,adobe,2025-04-02,2025-04-01,2025-04-02,2025-04-03,"Says the US will impose reciprocal tariffs of up to 50% on certain countries and 10% on imports from all other countries",3835400,2840300,5321500,-25.95,87.36
ADBE,adobe,2025-04-05,2025-04-04,2025-04-07,2025-04-08,"The 10% tariffs take effect",5863600,7690900,6645000,31.16,-13.6
ADBE,adobe,2025-04-09,2025-04-08,2025-04-09,2025-04-10,"Tariffs on roughly 60 countries are introduced. Announces a 90 day pause during which the 10% baseline rate will be paid. 125% tariff is applied for China",6645000,7182100,5694100,8.08,-20.72
ADBE,adobe,2025-04-10,2025-04-09,2025-04-10,2025-04-11,"China retaliatory 84% levy on US goods takes effect. Says tariffs on China would reach 145% for some products due to a previous 20% levy for those producing the drug fentanyl",7182100,5694100,3940500,-20.72,-30.8
ADBE,adobe,2025-04-11,2025-04-10,2025-04-11,2025-04-14,China sets tariffs on US imports at 125% from 12 April.,5694100,3940500,3282900,-30.8,-16.69
ADDYY,adidas,2025-02-01,2025-01-31,2025-02-03,2025-02-04,"25% tax on Canadian and Mexican exports to the US. 10% on China",42800,38900,1161,-9.11,-97.02
ADDYY,adidas,2025-02-03,2025-01-31,2025-02-03,2025-02-04,"Mexico and Canada reach a deal to pause US tariffs for one month",42800,38900,1161,-9.11,-97.02
ADDYY,adidas,2025-02-10,2025-02-07,2025-02-10,2025-02-11,"25% import tax on all steel and aluminium entering the US",27600,21000,36500,-23.91,73.81
ADDYY,adidas,2025-03-04,2025-03-03,2025-03-04,2025-03-05,"Increase on tariff for Chinese imports to 20%",40500,29200,60300,-27.9,106.51
ADDYY,adidas,2025-03-05,2025-03-04,2025-03-05,2025-03-06,"Temporarily exempts carmakers from the 25% tax imposed on Canada and Mexico",29200,60300,59000,106.51,-2.16
ADDYY,adidas,2025-03-07,2025-03-06,2025-03-07,2025-03-10,"Expands the range of goods exempted from the Canada and Mexico tariffs",59000,51600,59400,-12.54,15.12
ADDYY,adidas,2025-03-12,2025-03-11,2025-03-12,2025-03-13,"The 25% steel and aluminium tariffs take effect",42200,61700,33300,46.21,-46.03
ADDYY,adidas,2025-03-26,2025-03-25,2025-03-26,2025-03-27,"Announces 25% duties on cars will apply from 2 April and on car parts at a later date but before 3 May",35800,38900,34100,8.66,-12.34
ADDYY,adidas,2025-04-02,2025-04-01,2025-04-02,2025-04-03,"Says the US will impose reciprocal tariffs of up to 50% on certain countries and 10% on imports from all other countries",31100,22400,240600,-27.97,974.11
ADDYY,adidas,2025-04-05,2025-04-04,2025-04-07,2025-04-08,"The 10% tariffs take effect",135800,147600,79500,8.69,-46.14
ADDYY,adidas,2025-04-09,2025-04-08,2025-04-09,2025-04-10,"Tariffs on roughly 60 countries are introduced. Announces a 90 day pause during which the 10% baseline rate will be paid. 125% tariff is applied for China",79500,131900,106100,65.91,-19.56
ADDYY,adidas,2025-04-10,2025-04-09,2025-04-10,2025-04-11,"China retaliatory 84% levy on US goods takes effect. Says tariffs on China would reach 145% for some products due to a previous 20% levy for those producing the drug fentanyl",131900,106100,437100,-19.56,311.97
